"vendor_id","pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","rate_code","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","surcharge","mta_tax","tip_amount","tolls_amount","total_amount"
"CMT","2014-01-09 20:45:25","2014-01-09 20:52:31",1,"0,7","-73,99477","40,736828",1,"N","-73,982227","40,73179","CRD","6,5","0,5","0,5","1,4",0,"8,9"
"CMT","2014-01-09 20:46:12","2014-01-09 20:55:12",1,"1,4","-73,982392","40,773382",1,"N","-73,960449","40,763995","CRD","8,5","0,5","0,5","1,9",0,"11,4"
"CMT","2014-01-09 20:44:47","2014-01-09 20:59:46",2,"2,3","-73,98857","40,739406",1,"N","-73,986626","40,765217","CRD","11,5","0,5","0,5","1,5",0,14
"CMT","2014-01-09 20:44:57","2014-01-09 20:51:40",1,"1,7","-73,960213","40,770464",1,"N","-73,979863","40,77705","CRD","7,5","0,5","0,5","1,7",0,"10,2"
"CMT","2014-01-09 20:47:09","2014-01-09 20:53:32",1,"0,9","-73,995371","40,717248",1,"N","-73,984367","40,720524","CRD",6,"0,5","0,5","1,75",0,"8,75"
"CMT","2014-01-09 20:45:07","2014-01-09 20:51:01",1,"0,9","-73,983811","40,749655",1,"N","-73,989747","40,756575","CRD",6,"0,5","0,5","1,4",0,"8,4"
"CMT","2014-01-09 20:44:04","2014-01-09 21:05:45",1,"3,6","-73,984138","40,726317",1,"N","-73,962869","40,758443","CRD","16,5","0,5","0,5","5,25",0,"22,75"
"CMT","2014-01-09 20:43:23","2014-01-09 20:52:07",1,"2,1","-73,979906","40,74585",1,"N","-73,95909","40,773639","CRD",9,"0,5","0,5",2,0,12
"CMT","2014-01-09 20:43:04","2014-01-09 20:54:29",1,"3,4","-73,981147","40,758918",1,"N","-73,94251","40,785975","CRD",12,"0,5","0,5","2,6",0,"15,6"
"CMT","2014-01-09 20:50:23","2014-01-09 20:58:10",1,"2,3","-73,955193","40,765468",1,"N","-73,979023","40,740578","CRD",9,"0,5","0,5",1,0,11
"CMT","2014-01-09 20:51:36","2014-01-09 21:15:07",1,"9,5","-73,885275","40,773048",1,"N","-73,980879","40,777384","CRD","28,5","0,5","0,5","6,96","5,33","41,79"
"CMT","2014-01-09 20:48:04","2014-01-09 21:01:37",1,"3,3","-73,991782","40,748911",1,"N","-73,988359","40,714205","CRD","12,5","0,5","0,5","4,05",0,"17,55"
"CMT","2014-01-09 20:47:49","2014-01-09 20:56:11",2,"1,8","-73,965717","40,758675",1,"N","-73,984059","40,737448","CRD","8,5","0,5","0,5","1,9",0,"11,4"
"CMT","2014-01-09 20:48:47","2014-01-09 20:56:52",2,"1,4","-73,977009","40,75162",1,"N","-73,982643","40,766574","CRD","7,5","0,5","0,5","1,7",0,"10,2"
"CMT","2014-01-09 20:47:51","2014-01-09 21:02:31",3,"2,6","-73,977656","40,75368",1,"N","-73,952249","40,777676","CRD","12,5","0,5","0,5",1,0,"14,5"
"CMT","2014-01-09 20:49:49","2014-01-09 21:20:38",1,"11,2","-73,788266","40,647542",1,"N","-73,949225","40,6527","CRD","35,5","0,5","0,5",0,0,"36,5"
