p1,p2
1,31
1,388
2,31
2,388
4,31
4,388
5,236
5,265
5,894
6,265
6,894
7,31
7,388
9,31
9,388
10,31
10,388
11,31
11,388
13,31
13,388
14,325
14,780
14,967
15,31
15,388
16,31
16,388
17,31
17,388
18,31
18,388
18,955
19,31
19,388
20,31
20,388
21,388
22,780
23,31
24,325
24,780
24,967
25,265
26,236
26,265
27,265
27,894
28,265
28,894
29,31
29,388
30,236
30,265
30,278
30,325
30,439
30,792
30,810
30,894
30,967
31,165
31,166
31,173
31,174
31,177
31,178
31,203
31,204
31,205
31,206
31,207
31,208
31,209
31,210
31,213
31,214
31,215
31,216
31,218
31,221
31,222
31,223
31,224
31,225
31,226
31,229
31,230
31,231
31,234
31,235
31,236
31,237
31,238
31,358
31,370
31,400
31,403
31,405
31,407
31,409
31,410
31,561
31,564
31,565
31,567
31,568
31,741
31,742
31,743
31,773
31,775
31,779
31,787
31,789
31,791
31,793
31,795
31,797
31,799
31,805
31,809
31,811
31,813
31,817
31,818
31,866
31,867
31,868
31,871
31,873
31,875
31,876
31,879
31,880
31,881
31,882
31,887
31,889
31,890
31,891
31,892
31,895
31,897
31,898
31,899
31,900
31,901
31,902
31,903
31,904
31,905
31,906
31,907
31,908
31,909
31,910
31,913
31,917
31,927
31,933
31,939
31,941
31,955
31,1000
31,1001
31,1002
31,1005
31,1006
31,1008
31,1011
31,1012
31,1013
31,1014
31,1017
31,1018
31,1021
31,1023
31,1024
31,1028
31,1031
32,277
33,41
33,42
34,78
35,41
35,42
37,39
37,41
37,42
38,39
38,41
38,42
39,44
39,47
39,48
39,49
39,50
39,51
39,53
39,54
39,56
39,57
39,59
39,60
39,61
39,63
39,67
39,69
39,135
39,136
39,411
39,412
39,657
39,659
39,660
39,668
40,41
40,42
41,43
41,44
41,45
41,47
41,48
41,49
41,50
41,51
41,53
41,54
41,55
41,56
41,57
41,59
41,60
41,61
41,62
41,63
41,67
41,69
41,76
41,79
41,135
41,136
41,192
41,326
41,411
41,412
41,523
41,524
41,657
41,659
41,660
41,667
41,668
41,737
42,43
42,44
42,45
42,47
42,48
42,49
42,50
42,51
42,53
42,54
42,55
42,56
42,57
42,59
42,60
42,61
42,62
42,63
42,67
42,69
42,76
42,79
42,135
42,136
42,192
42,326
42,411
42,412
42,523
42,524
42,657
42,659
42,660
42,667
42,668
42,737
46,78
53,236
65,265
66,265
66,894
77,78
77,325
77,388
78,80
78,82
78,135
78,136
78,411
78,412
78,665
78,666
78,738
80,632
81,236
82,236
83,780
84,325
84,780
84,967
85,325
85,780
86,780
87,780
88,780
89,780
90,752
91,780
92,780
93,325
93,780
93,967
94,325
94,780
94,967
95,325
95,780
95,967
96,325
96,780
96,967
97,325
97,780
97,967
101,780
104,265
104,894
105,325
105,780
106,118
106,762
106,842
107,780
109,325
109,780
109,967
111,325
111,780
111,967
113,325
113,780
113,967
115,325
115,780
115,967
117,780
119,325
119,780
119,967
121,780
122,180
123,325
123,780
123,967
124,780
125,780
127,325
127,780
127,967
133,780
135,191
135,388
135,780
136,191
136,388
136,780
137,325
137,780
137,967
138,325
138,780
138,967
140,265
140,894
141,325
141,780
142,752
143,780
145,780
148,265
148,894
149,325
149,780
149,967
152,265
152,894
153,325
153,780
153,967
155,325
155,780
155,967
158,265
158,894
160,265
160,894
161,780
163,325
163,780
163,967
165,388
166,219
166,388
170,219
170,236
173,388
174,388
175,265
176,265
176,894
176,1015
177,388
190,619
191,413
191,419
191,453
191,455
191,461
191,471
191,485
191,487
191,579
191,587
191,596
191,598
191,631
191,633
191,635
191,671
191,673
191,674
191,677
191,685
191,689
191,691
191,692
191,693
191,694
191,699
191,703
191,704
191,705
191,709
191,713
191,715
191,717
191,722
191,726
191,727
191,728
191,733
191,735
191,736
192,388
195,341
195,342
196,341
196,342
197,341
197,342
198,341
198,342
199,632
199,637
199,638
200,637
203,388
204,388
205,388
207,388
208,388
209,236
209,388
209,791
209,809
210,388
210,791
211,236
211,265
211,894
211,915
211,1004
212,265
212,894
213,219
213,233
213,236
213,388
214,219
214,236
214,388
215,388
216,388
218,388
219,370
219,795
219,1012
221,388
222,388
223,388
224,388
226,388
227,265
227,894
228,236
228,265
228,894
229,388
230,388
231,388
235,388
235,791
235,792
236,267
236,268
236,278
236,370
236,388
236,423
236,424
236,439
236,440
236,461
236,462
236,509
236,510
236,514
236,569
236,570
236,627
236,628
236,641
236,673
236,674
236,693
236,694
236,795
236,810
236,947
236,990
236,1012
236,1015
236,1016
236,1025
236,1026
236,1029
237,388
239,265
239,894
240,265
240,894
243,244
243,284
247,325
247,780
248,325
248,780
248,967
249,325
249,780
249,967
250,780
251,780
252,780
253,325
253,780
254,780
257,325
257,780
257,967
258,325
258,780
258,967
259,325
259,780
259,967
261,315
261,325
261,967
262,315
262,325
262,967
265,267
265,268
265,286
265,305
265,306
265,343
265,344
265,375
265,376
265,433
265,434
265,439
265,440
265,491
265,492
265,497
265,498
265,507
265,508
265,513
265,514
265,515
265,516
265,538
265,539
265,540
265,551
265,552
265,570
265,577
265,578
265,585
265,586
265,601
265,602
265,639
265,640
265,645
265,646
265,679
265,719
265,720
265,731
265,732
265,755
265,756
265,777
265,781
265,783
265,792
265,823
265,824
265,845
265,846
265,853
265,854
265,915
265,916
265,921
265,947
265,1003
265,1004
265,1015
265,1016
265,1025
265,1026
265,1029
265,1030
267,268
267,278
267,325
267,792
267,894
267,967
268,277
268,325
268,423
268,792
268,894
268,967
269,780
270,780
273,780
274,325
274,780
274,967
275,780
277,325
277,439
277,641
277,642
277,693
277,694
277,780
277,791
277,809
277,879
277,880
277,924
277,967
278,325
278,440
278,641
278,642
278,693
278,694
278,780
278,791
278,809
278,810
278,879
278,880
278,967
279,780
280,325
280,780
280,967
283,325
283,780
283,967
286,894
287,780
289,325
289,780
289,967
290,780
292,976
299,976
302,976
303,976
305,894
306,894
309,976
311,976
312,976
313,780
315,780
316,780
317,780
318,780
319,325
319,780
320,780
321,780
322,780
325,411
325,412
325,437
325,438
325,439
325,440
325,653
325,740
325,744
325,794
325,796
325,798
325,800
325,804
325,810
325,814
325,816
325,919
325,925
325,926
325,928
325,931
325,932
325,934
325,935
325,936
325,942
325,946
325,952
325,953
325,954
325,956
325,959
325,960
325,962
325,963
325,964
325,965
325,966
325,971
325,972
326,388
327,780
328,780
340,625
340,626
341,632
342,632
343,894
344,894
358,388
362,632
362,682
363,475
363,520
363,521
363,632
364,475
364,520
364,521
364,632
370,388
375,894
376,894
388,400
388,403
388,405
388,407
388,409
388,410
388,411
388,412
388,561
388,564
388,565
388,567
388,568
388,741
388,743
388,775
388,779
388,787
388,791
388,793
388,795
388,797
388,799
388,805
388,809
388,811
388,813
388,817
388,818
388,866
388,867
388,868
388,871
388,873
388,875
388,876
388,879
388,880
388,881
388,882
388,887
388,889
388,890
388,891
388,892
388,895
388,897
388,898
388,899
388,900
388,901
388,902
388,904
388,905
388,906
388,907
388,908
388,909
388,910
388,913
388,915
388,917
388,927
388,933
388,941
388,955
388,1000
388,1001
388,1002
388,1006
388,1008
388,1011
388,1012
388,1013
388,1014
388,1017
388,1018
388,1021
388,1023
388,1024
388,1028
388,1031
395,632
404,955
411,967
412,967
423,424
423,439
423,462
423,627
423,628
423,673
423,674
423,693
423,694
423,735
423,791
433,894
437,780
437,967
438,780
438,967
439,440
439,792
439,894
439,967
440,792
440,810
440,894
440,967
488,632
491,894
497,894
498,894
507,894
508,680
508,894
512,632
512,637
513,514
513,894
514,639
514,894
515,894
516,894
533,534
534,632
537,640
538,640
538,894
539,639
539,894
540,639
540,894
551,894
552,894
569,915
570,894
570,915
577,894
585,894
586,894
597,598
601,894
602,894
605,976
608,976
609,976
610,967
610,976
614,976
632,714
632,730
639,680
639,894
640,680
640,894
641,642
641,693
641,694
641,791
641,792
641,809
641,810
641,879
641,880
642,693
642,694
642,791
642,792
642,809
642,810
642,879
642,880
645,894
646,894
651,780
653,780
673,693
679,894
680,732
693,694
693,791
693,792
693,809
693,810
693,879
693,880
694,791
694,792
694,809
694,810
694,879
697,699
697,700
698,700
720,894
732,894
