p1,p2,distance,similarity
5,894,0.6542692509,0.6030320587
6,893,0.7014143531,0.6464851294
5,1145,0.6526977475,0.6015836230
6,1146,0.7003666841,0.6455195056
5,1722,0.6752226296,0.6223445346
6,1721,0.7223677318,0.6657976053
25,1722,0.6626506024,0.6107570491
26,1721,0.6610790990,0.6093086134
27,894,0.6511262441,0.6001351873
28,893,0.6956521739,0.6411741985
28,1146,0.6946045050,0.6402085747
27,1722,0.6720796228,0.6194476632
28,1721,0.7166055526,0.6604866744
30,32,0.6521739130,0.6011008111
29,39,0.6673651126,0.6151023561
30,40,0.6720796228,0.6194476632
30,42,0.6574122577,0.6059289301
30,41,0.6574122577,0.6059289301
29,78,0.6657936092,0.6136539204
30,77,0.6710319539,0.6184820394
29,191,0.6773179675,0.6242757822
30,192,0.6804609743,0.6271726535
29,265,0.6684127816,0.6160679799
30,266,0.6726034573,0.6199304751
29,388,0.6542692509,0.6030320587
30,387,0.6621267679,0.6102742372
29,1881,0.6668412782,0.6146195442
30,1882,0.6710319539,0.6184820394
29,1969,0.6689366160,0.6165507918
30,1970,0.6726034573,0.6199304751
31,54,0.7328444212,0.6754538432
31,53,0.7160817182,0.6600038625
31,210,0.6589837611,0.6073773658
31,209,0.7317967522,0.6744882194
31,235,0.7040335254,0.6488991889
31,277,0.6778418020,0.6247585941
31,462,0.6946045050,0.6402085747
31,461,0.6605552645,0.6088258015
31,509,0.6652697748,0.6131711085
31,628,0.6841278156,0.6305523368
31,627,0.6663174437,0.6141367323
31,673,0.6731272918,0.6204132870
31,809,0.6306966998,0.6975666280
31,1046,0.6862231535,0.6324835844
31,1056,0.6636982713,0.6117226728
31,1055,0.6951283394,0.6406913866
31,1084,0.6652697748,0.6131711085
31,1083,0.6966998428,0.6421398223
31,1414,0.7176532216,0.6614522982
31,1413,0.6526977475,0.6015836230
31,1477,0.6516500786,0.6006179992
31,1580,0.7029858565,0.6479335651
31,1579,0.7276060765,0.6706257242
31,1752,0.6322682032,0.6993047509
31,1751,0.6317443688,0.6987253766
31,1790,0.6757464641,0.6228273465
31,1789,0.6678889471,0.6155851680
31,1791,0.6678889471,0.6155851680
31,1804,0.7071765322,0.6517960603
31,1803,0.7323205867,0.6749710313
39,54,0.7527501310,0.6938006952
39,53,0.7359874280,0.6783507146
39,82,0.6631744369,0.6112398610
39,236,0.8999476166,0.6635766705
39,277,0.6972236773,0.6426226342
39,642,0.6788894709,0.6257242178
39,641,0.6631744369,0.6112398610
39,694,0.6893661603,0.6353804558
39,693,0.6574122577,0.6059289301
39,791,0.7150340492,0.6590382387
39,810,0.6799371399,0.6266898416
39,809,0.6516500786,0.6006179992
39,880,0.6961760084,0.6416570104
39,879,0.6715557884,0.6189648513
39,1046,0.7066526977,0.6513132484
39,1752,0.6526977475,0.6015836230
